"","G1","G2M","S"
"Mcm7",1,1,0.449983794183035
"Claspin",1,1,0.0216126171426635
"PCNA",1,1,0.452851020495075
"dap",1,1,0.0131768779907683
"RfC4",1,1,3.28041398469049e-07
"Mcm6",1,1,0.00478343165748205
"CG15141",1,1,8.47617238068466e-06
"DNApol-alpha50",1,1,2.19107823202739e-07
"dpa",1,0.347929810283438,0.0548007432399062
"geminin",1,1,0.0455866911443962
"CG8223",1,1,0.00882781482796971
"spn-A",1,1,3.01121708944496e-09
"l(2)dtl",1,1,2.37920406333333e-06
"DNApol-alpha180",1,1,0.00135213153790515
"CG11788",1,1,5.13325060014827e-07
"Ts",1,1,4.06370481161462e-07
"Psf2",1,1,1.94865995830656e-06
"RnrS",1,1,0.0455866911443962
"spel1",1,1,0.000180296617257415
"FLASH",1,1,3.58946428511018e-08
"CycA",1,1,0.148966502463184
"CycD",1,1,0.00143266846729464
"CycE",1,0.511901166483533,0.14991830110435
"Caf1-105",1,1,2.19107823202739e-07
"tos",1,1,0.00027185290983554
"Cdc6",1,1,0.00143266846729464
"Fen1",1,1,8.04847196454918e-09
"Mcm5",1,1,0.000432151060262726
"Blm",1,1,4.83760724476153e-05
"CG10336",1,1,8.4667493905402e-07
"Mcm2",1,1,1.72124163947033e-06
"RnrL",1,1,5.13325060014827e-07
"Slbp",1,1,0.0711550394503395
"ct",1,0.0704694428413184,1
"jumu",1,7.41297720380031e-08,1
"msps",1,7.41297720380031e-08,1
"BubR1",1,2.55029151007079e-07,1
"pav",1,0.000108482836017908,1
"nod",1,0.000392533181294787,1
"fzy",1,0.17329275445363,1
"betaTub56D",1,1,1
"cana",1,1.61049986122185e-05,1
"Klp10A",1,2.55029151007079e-07,1
"pie",1,3.91165526844023e-06,1
"pbl",1,4.47977299588877e-07,1
"Cks85A",1,3.91165526844023e-06,1
"Cap-D2",1,7.034977808189e-11,1
"aurA",1,2.3058603577652e-07,1
"scra",1,0.000166414898266005,1
"CG30183",1,2.55029151007079e-07,1
"Bub1",1,3.91165526844023e-06,1
"Mapmodulin",1,1,1
"glu",1,1.24336130799406e-05,1
"Diap2",1,0.000304577703809681,1
"cmet",1,3.35033452730753e-09,1
"mars",1,9.65450384153873e-08,1
"msb1l",1,1,1
"RanGAP",1,0.0493604304270862,1
"vih",1,4.03394470572696e-05,1
"Phf7",1,9.05063078946941e-07,1
"Klp61F",1,2.34240613242147e-09,1
"Cdk1",1,0.394512825189883,1
"E(spl)m7-HLH",1,0.942279057728308,1
"E(spl)m8-HLH",1,0.959677361691812,1
"E(spl)mgamma-HLH",1,1,1
"E(spl)m4-BFM",1,0.189039414577263,1
"aPKC",1,1,1
"baz",1,0.0161890488411629,1
"dgo",1,1,1
"dsh",1,0.0159520615225577,1
"ft",1,0.0222693399957919,1
"fj",1,0.0106446479428213,1
"msn",1,0.837802150268274,0.837802150268274
"Vang",1,1,1
"DAAM",1,1,1
"ds",1,0.0468615426979827,1
"fz",1,0.841656235706951,1
"fy",1,1,0.600124324073395
"pk",1,0.248478619857172,1
"Rho1",1,1,1
"Rok",1,0.00657810987147036,1
"Rab23",1,1,1
"stan",1,1,0.934100557936418
"par-6",1,0.580113041675291,1
"nmo",1,1,1
"mys",1,0.580113041675291,1
