"","G1","G2M","S"
"Mcm7",0.818923041042128,0.897584232856973,0.0558119434645625
"Claspin",0.999878211138477,0.444602494573656,0.00209424584715732
"PCNA",0.857808701104304,0.941104798188599,0.0579228049470445
"dap",0.40218051785515,0.99979031627552,0.00122575609216449
"RfC4",0.999952614273466,0.992029333059784,7.62886973183836e-09
"Mcm6",0.998606028290274,0.825887328948834,0.00040788952118064
"CG15141",0.951598091642235,0.999763642109214,4.59947338486765e-07
"DNApol-alpha50",0.99990085917377,0.997046835031351,4.24627564346393e-09
"dpa",0.999997399161461,0.0997938215541644,0.00594736748340067
"geminin",0.942707581067117,0.948249858132409,0.00471632792352624
"CG8223",0.964112219737615,0.969446378328813,0.00078697574047792
"spn-A",0.999555778426919,0.999951329094954,1.16713840676161e-11
"l(2)dtl",0.999991698925171,0.968018077792896,1.19882375284238e-07
"DNApol-alpha180",0.999835194097984,0.784254589239347,9.95755783728597e-05
"CG11788",0.999165304586292,0.999128705841284,1.73950868053935e-08
"Ts",0.997452266816862,0.999412946397338,1.10255556904273e-08
"Psf2",0.996241482181861,0.998891607665113,9.06353468979797e-08
"RnrS",0.997866354069355,0.69894297602425,0.00477070023604147
"spel1",0.999995634919511,0.736945325377798,1.11811855663513e-05
"FLASH",0.999999961886034,0.961539416672185,4.17379568036067e-10
"CycA",0.996297588865749,0.620687149529283,0.0173216863329284
"CycD",0.992601240467138,0.966047265122618,0.000116612549663517
"CycE",0.999918781867458,0.174601948257949,0.01801343927998
"Caf1-105",0.99999892872644,0.94004830816008,3.43234234535999e-09
"tos",0.999985182243085,0.813310198203232,1.79127886325743e-05
"Cdc6",0.999954524141887,0.665137891798623,0.000114479273797698
"Fen1",0.999999966684211,0.980502833589573,6.23912555391409e-11
"Mcm5",0.999101840986921,0.928973556223029,3.01500739718181e-05
"Blm",0.999998736914739,0.803414089650991,2.81256235160554e-06
"CG10336",0.999809760309877,0.992942235141472,3.2816858102869e-08
"Mcm2",0.999968396806552,0.968927598121359,7.33862714502853e-08
"RnrL",0.999999906959472,0.922320713605748,1.79066881400521e-08
"Slbp",0.998806035307552,0.617502913805049,0.0079980470699994
"ct",0.984353206836807,0.00819412126061842,0.881139248147522
"jumu",0.999999996752211,1.43662348910859e-09,0.834085301276878
"msps",0.99481710057746,1.23739372510666e-09,0.999975773677869
"BubR1",0.999999730671994,9.42417296178965e-09,0.940532636773321
"pav",0.998820748455768,7.98904606333431e-06,0.971248715755807
"nod",0.912565623861936,3.34718216607958e-05,0.999387239662603
"fzy",0.913306712197296,0.0208219976281493,0.91102773806052
"betaTub56D",1,1,1
"cana",0.999999592198595,1.06118207909967e-06,0.900370957153561
"Klp10A",0.999983171258046,8.46257481303789e-09,0.992162590465075
"pie",0.999732332256751,2.05830853756073e-07,0.992668539525586
"pbl",0.999838173587464,1.90998073468126e-08,0.990020207684285
"Cks85A",0.999910546097318,2.25831407816063e-07,0.983713188325941
"Cap-D2",0.999999891822373,2.72673558456938e-13,0.998950535695669
"aurA",0.999934113405286,6.25621027300636e-09,0.997972843843108
"scra",0.998024403594882,1.2900379710543e-05,0.973616384351142
"CG30183",0.999910973922522,9.88485081422787e-09,0.997707968261223
"Bub1",0.997692064131552,2.27421817932572e-07,0.998694429082332
"Mapmodulin",1,1,1
"glu",0.999710352485233,7.71076780151358e-07,0.976700981970008
"Diap2",0.999467637092931,2.47912084496252e-05,0.944814643256433
"cmet",0.999999999970499,3.89573782245061e-11,0.877412654214568
"mars",0.999999242348806,2.24523345152063e-09,0.979759793621254
"msb1l",0.286755848179235,0.51526818569283,0.922338363936296
"RanGAP",0.999441336791831,0.00554826543560271,0.496410917281571
"vih",0.99241822960233,2.81438002725137e-06,0.994316208024276
"Phf7",0.999999949076473,4.20959571603228e-08,0.881018494443788
"Klp61F",0.999999970917652,1.81581870730346e-11,0.988459300140735
"Cdk1",0.879943038825735,0.0519900622343256,0.925441607820228
"E(spl)m7-HLH",0.0352460831382076,0.142437531982186,0.997402557615808
"E(spl)m8-HLH",0.328239045006534,0.148787187859196,0.952122819423474
"E(spl)mgamma-HLH",0.70297775093859,0.290282402467629,0.732874935280693
"E(spl)m4-BFM",0.0464224741948635,0.0234467490948543,0.99983156627531
"aPKC",0.227215915148709,0.693994299754281,0.648832875117934
"baz",0.639706685989874,0.00163145453438076,0.997732065025837
"dgo",0.894035272729315,0.161895031787629,0.560083922917125
"dsh",0.965028727615093,0.00154574239559667,0.951074337133605
"ft",0.883393906412818,0.00233051232514101,0.97932700411155
"fj",0.725385136149812,0.000990199808634544,0.997561913910747
"msn",0.986867021563097,0.171561562825895,0.233805251237658
"Vang",0.472353755895519,0.16555117963465,0.889195027407099
"DAAM",0.941810397691391,0.185076110576055,0.460644550402101
"ds",0.965495116885563,0.00508574881993611,0.942771329439918
"fz",0.735806699253871,0.12396487192583,0.791995788630247
"fy",0.917990447951856,0.669552535677076,0.0790861512344784
"pk",0.713244151820764,0.0317821490514988,0.99507812488
"Rho1",0.620771343175608,1,0.382174676604129
"Rok",0.830284696870575,0.00058642064745666,0.995832764194814
"Rab23",0.0358110914963807,0.52803679749119,0.951400606131851
"stan",0.759025492607322,0.924026935985667,0.126719067937111
"par-6",0.970150441208432,0.0799497574549274,0.505389139672643
"nmo",1,1,1
"mys",0.988092512317333,0.0809460058151569,0.377253732202052
