"","Gene","G1_median","G2M_median","S_median","G1_mean","G2M_mean","S_mean","kw_pval","kw_adj","G1-G2M Dunns FDR","G1-S Dunns FDR","G2M-S Dunns FDR"
"1","Mcm7",5.8020523817807,5.97987180788728,5.97599142271826,5.51822283166281,5.78956108432229,5.65481736692911,0.000578888679447123,0.000939328800612314,0.00710793683960947,0.000374261828317144,0.210066200891557
"2","Claspin",5.47130844223399,5.58144629862134,5.55554984381694,4.59786278461465,5.18616210633425,5.00588810983959,0.00377442107892452,0.00523548730302434,0.0213708984186747,0.00272030336718235,0.282873608908806
"3","PCNA",6.61933662322456,6.80723266389666,6.65257223802546,6.48551106715392,6.74129737048253,6.53945567241768,4.97803511356258e-10,3.56759183138652e-09,0.386334347697372,5.90630125188991e-08,7.57427322077952e-08
"4","dap",0,0,0,0.75889239898949,0.873760955450289,0.474252064898175,0.00130991224038006,0.00197635881881905,0.0777835864198758,0.280977700823932,0.000931775236786489
"5","RfC4",4.41589491939956,4.86102601823554,4.44646788193011,2.85688137189848,3.8568198239467,3.11514383095347,6.03627028109284e-09,3.05364261278814e-08,0.396262431260258,3.28664567151302e-07,5.40040463446092e-07
"6","Mcm6",4.77828564341675,5.04224508609293,4.90090618127512,3.61126503702563,4.34606349269438,3.94987928045318,1.82821147321573e-06,4.13753122885665e-06,0.0195369961336912,1.73769733341073e-06,0.00185480659606412
"7","CG15141",5.39136757083443,5.53887688494524,5.41813460308333,4.75368213290784,5.26981278207267,4.73432880776106,9.03315279015126e-05,0.000165287476585746,0.485143335643258,0.000672085211273575,0.000469012483619455
"8","DNApol-alpha50",0,4.30977490922966,0,1.96093017897245,2.93897086456222,2.22922495828569,6.37585921811735e-08,2.03082923243738e-07,0.0928749302467191,3.95236274182005e-07,2.10891817093811e-05
"9","dpa",5.06360147783723,5.37417651988709,5.40831972036103,4.22521115733125,4.92185058873401,4.83717449763992,3.8196278785097e-05,7.46563630799623e-05,8.45168132291126e-05,9.50417910800696e-05,0.831266269569532
"10","geminin",6.25931860187767,6.36174476863722,6.23870539676944,5.93236373436883,6.20723023645428,5.98321058971486,0.0014866227239197,0.00220430265960508,0.677327482218871,0.00412095228752339,0.00573053025177284
"11","CG8223",6.06748740197767,6.16278351485105,6.16296930047685,5.70677386312881,6.05826799158043,5.90393352679932,0.000764267884047218,0.00117369710764394,0.00100302284857107,0.00151518093410504,0.891955396879967
"12","spn-A",4.06908599486989,4.77111944895399,4.20179757438939,2.72547038902703,3.76063635238117,2.81950016026699,3.68147361253842e-12,6.33213461356609e-11,0.778143408766851,1.86473471472515e-08,2.30478946099263e-10
"13","l(2)dtl",0,0,0,0.853748034965154,1.73618561358445,1.18395079986565,7.42656699972335e-09,3.5482486776456e-08,0.0348551452176874,2.90602364591197e-08,1.74187978045959e-05
"14","DNApol-alpha180",4.60872544736093,4.87193250717481,4.74824999749698,3.30197540897756,4.06154011890512,3.69624579970875,0.000592889581258352,0.000944231555337376,0.0482850059064573,0.000434714081391909,0.0397775109939702
"15","CG11788",0,0,0,0.988571566472549,1.72475446033374,1.1298157759037,5.46447121086839e-07,1.38218977686671e-06,0.375646368953765,1.26021454680956e-05,1.14167435506588e-05
