"","G1","G2M","S"
"Mcm7",1,0.999999999999973,3.64265066617037e-173
"Claspin",1,1,3.02569687180025e-239
"PCNA",1,0.979908823830506,2.769725468314e-52
"dap",1,0.221981618731056,4.34973906729038e-19
"RfC4",1,0.737409660152976,3.06281164474422e-23
"Mcm6",1,0.999999999999742,1.92325979838708e-126
"CG15141",0.99999999450939,0.0115975304111041,0.00150956358630321
"DNApol-alpha50",1,1,3.72785099522124e-196
"dpa",1,1,1.52662775156945e-191
"geminin",0.999999999999997,0.0706494174400834,8.14564933786266e-10
"CG8223",0.999999998384421,0.238365362379917,2.91892773129375e-07
"spn-A",0.993980508134855,0.0189004920904722,0.424362892843957
"l(2)dtl",0.999999999999845,1,4.37994162550627e-52
"DNApol-alpha180",1,0.999999999999822,7.92392216666337e-57
"CG11788",1,1,1.32359890621273e-68
"Ts",1,1,0
"Psf2",0.999948206684298,0.000457542699785248,0.405206467291048
"RnrS",1,1,5.20256555815363e-194
"spel1",0.999999999986566,0.55101799101434,7.87457010151173e-10
"FLASH",0.926299355696726,0.797715663578463,0.0219577323067239
"CycA",0.999999998744953,0.184226858994709,1.76915270835588e-06
"CycD",0.38895583944672,0.000741565589803072,0.999725906167444
"CycE",1,1,9.30532975870674e-171
"Caf1-105",1,1,3.61610937557252e-59
"tos",0.999999999994947,0.999878240912148,5.00620322948876e-20
"Cdc6",1,0.999986153255353,1.15482783242167e-30
"Fen1",1,0.997043226401482,6.85209629582021e-34
"Mcm5",1,1,2.52549605077137e-210
"Blm",0.997646532442847,0.258894535938252,0.0394793656156137
"CG10336",1,1,2.43071938678271e-195
"Mcm2",1,1,2.22333250645851e-193
"RnrL",1,1,2.88686615401053e-219
"Slbp",1,0.999225772496626,2.5879799109822e-70
"ct",0.986899196228271,0.00168155882982545,0.853968260510388
"jumu",0.999999900106251,1.15823168599484e-28,0.999999999719006
"msps",0.99909299125956,4.95545551621559e-37,1
"BubR1",0.999999999998608,1.7258458618198e-11,0.641306783493196
"pav",0.999999999998327,6.05999065775716e-67,1
"nod",0.999999999888961,2.04676051647343e-24,0.999995759064469
"fzy",1,1.86516403562606e-32,0.835474283498678
"betaTub56D",1,1,1
"cana",0.99650448841844,5.77063067203343e-07,0.994523626681635
"Klp10A",0.999997178872753,7.11316491760442e-48,1
"pie",0.999776618343046,0.00367483187228308,0.33811023133779
"pbl",1,1.9554656817933e-39,0.999999346522622
"Cks85A",0.999990877675505,3.97130622230991e-32,0.999999999999894
"Cap-D2",0.999999999998849,2.93285996503282e-18,0.988894136010394
"aurA",1,5.85152563789982e-56,1
"scra",0.99999999990081,1.47700608169142e-58,1
"CG30183",0.97375425055042,1.21769172741905e-10,0.999999038034095
"Bub1",0.763099113175497,7.53434944563324e-06,0.999926125646668
"Mapmodulin",0.924624705934569,0.429989864914789,0.854767114977721
"glu",1,1.05387364896619e-09,7.94042523420501e-07
"Diap2",0.998453118975293,1.00647648219394e-07,0.993483201648391
"cmet",0.99999979544282,1.80396863201918e-19,0.999998118959698
"mars",0.999999999909796,1.09117560932566e-34,0.999999999868919
"msb1l",1,3.8326152593238e-24,0.000341010937954238
"RanGAP",1,8.0645499296293e-22,0.000680811790774011
"vih",0.99999999949195,5.37375027873519e-29,0.999995467668422
"Phf7",1,1,3.03507467362792e-140
"Klp61F",1,1.31150740546438e-56,0.999999999991323
"Cdk1",1,1.8448103772478e-12,0.0104972239656955
"E(spl)m7-HLH",0.000669905574634093,0.171785484572485,0.999967162005787
"E(spl)m8-HLH",0.0502325153178086,0.0201823712985488,0.999887946175338
"E(spl)mgamma-HLH",0.991448404402265,0.219979751704312,0.102168253525168
"E(spl)m4-BFM",3.72448250791294e-07,0.996729516454821,0.98906353725002
"aPKC",0.234286569810284,0.34042685656218,0.876044677305336
"baz",0.0242611507503407,0.000860057646841042,0.999999737971456
"dgo",0.20610640839169,0.234304078956596,0.943748593253693
"dsh",0.230943407113586,0.00262579204263655,0.999843582810602
"ft",0.0729091397357667,0.00141327852650491,0.999992402358859
"fj",3.35993502242304e-08,0.646751413806327,0.999998142706046
"msn",0.00707665633111748,0.000245027317657693,0.999999995897743
"Vang",0.225358603002028,1.73346405271395e-08,0.999999999611409
"DAAM",0.000819790671925246,0.997462660321171,0.680219486311546
"ds",0.902897806972147,5.65143811610227e-05,0.996421947719041
"fz",0.994542311075936,1.21659698152324e-05,0.967396501813704
"fy",0.498338009499847,0.00034393183888152,0.999719619441856
"pk",0.513945610591196,0.582977759504331,0.462952361352397
"Rho1",0.868943295024171,0.773811241519302,0.370185193677701
"Rok",0.151545180597699,0.0071393955495934,0.999731001390839
"Rab23",0.602399630816523,0.634563592124583,0.312279986904149
"stan",0.325009639264133,0.327590254871998,0.843315500792315
"par-6",0.00794547446457469,0.0156337608728055,0.999994450802491
"nmo",0.998859234911566,0.00164012561542247,0.55513646424855
"mys",0.00124138047231643,0.0622925458762992,0.999994127628606
