"","Gene","G1_median","G2M_median","S_median","G1_mean","G2M_mean","S_mean","kw_pval","kw_adj","G1-G2M Dunns FDR","G1-S Dunns FDR","G2M-S Dunns FDR"
"1","Mcm7",0,1.15841052183884,0.495745757776603,0.37899353091946,1.11309016152293,0.530837742568313,7.1342604956456e-317,7.66933003281902e-316,1.18450280579957e-13,5.25394905159269e-268,3.54367934361165e-187
"2","Claspin",0,0.626349179676956,0,0.107464720203377,0.603544651950118,0.146830910055934,6.32662702910913e-284,4.94627204093987e-283,0.00284541972975492,1.29577270275956e-214,1.54084896035594e-198
"3","PCNA",1.3899989575867,3.09840639883928,1.69783308865981,1.42373133773316,3.05537618096221,1.70657972159744,0,0,4.9058949652219e-12,0,0
"4","dap",0.459110860293321,0.738889800421638,0.577458496440822,0.469650080633714,0.759288816681681,0.598578029126936,3.95553104732887e-61,1.06304896896963e-60,1.91340483447503e-12,2.93395422129638e-60,1.1351443610947e-22
"5","RfC4",1.12193266356772,1.67039054698682,1.32863182768505,1.0678566701218,1.61282851545171,1.26492139083021,6.17174410046144e-165,3.31731245399802e-164,2.01340011642771e-19,3.19445285402113e-154,2.01200147170767e-75
"6","Mcm6",0.506877286767827,1.32147298347169,0.621760730230965,0.518319866694456,1.26401141612895,0.635523135728999,0,0,5.57177575480508e-08,3.65024791683082e-262,4.60407372882247e-210
"7","CG15141",0.311690046070888,0.546534458689164,0.45336320574541,0.358733693309445,0.498472687455186,0.441396564785633,5.21154355441142e-17,9.14679072815065e-17,1.29589253882544e-07,1.64256328535304e-17,0.00073697126034191
"8","DNApol-alpha50",0,0.506494458621475,0,0.0912604334166807,0.464878670886516,0.126074232680082,4.47141288333204e-226,2.95801159974274e-225,0.0028608302303331,4.87620103826382e-173,2.78690129685295e-156
"9","dpa",0,1.05301196507611,0.358966879524963,0.299437167292876,0.99727120127646,0.40302168763238,0,0,6.13093273073501e-08,7.33345509088046e-262,5.0284958033308e-210
"10","geminin",1.01806671093147,1.36496837440447,1.20554037752785,0.967997007672241,1.30588131507994,1.14453653539351,1.55038157700157e-66,4.59768329731499e-66,1.76638681653848e-18,5.19517586483972e-67,6.23218646301032e-19
"11","CG8223",1.38831031689678,1.77406702086347,1.60473478119684,1.33164647440451,1.7152112947085,1.51626933814556,1.54648343710968e-87,6.33321788530631e-87,8.37623255149576e-20,5.89070247545739e-87,6.95760465589192e-29
